name,town,type,county,email,website,phone,head_first_name,head_last_name,head_title,head_job_title,street,locality,postcode,all_emails,staff_contacts,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors
Hollinsclough CE Academy,Hollinsclough,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Holly Grove Primary Academy,Burntwood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Holy Rosary RC Voluntary Academy,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Holy Trinity CE Primary School,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Horninglow Primary,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Horton St Michael's CE First School,Horton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Howard Primary School,Elford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Hugo Meynell CE Primary School,Loggerheads,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Hutchinson Memorial CE First School,Checkley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Ilam CE Primary School,Ilam,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Jerome Primary School,Norton Canes,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The John Bamford Primary School,Rugeley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
John of Rolleston Primary School,Rolleston on Dove,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
John Wheeldon Primary Academy,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Kidsgrove Primary School,Kidsgrove,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Kingsfield First School,Biddulph,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Knutton St Marys CE Academy,Knutton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Knypersley First School,Biddulph,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Lakeside Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Landau Forte Academy Greenacres,Amington,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Landywood Primary School,Landywood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Lane Green First School,Bilbrook,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Langdale Primary School,Newcastle-under-Lyme,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Lansdowne,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Lark Hall Infant Academy,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Leasowes Primary School,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Leek First School,Leek,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Little Aston Primary Academy,Little Aston,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Littleton Green Community School,Huntington,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Longford Primary Academy,Cannock,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Longwood Primary School,Fazeley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Manifold CE Primary School,Warslow,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Manor Hill First School,Walton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Manor Primary Academy,Drayton Bassett,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Marshbrook First School,Penkridge,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Mary Howard CE Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
May Bank Infants' School,Newcastle-under-Lyme,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Meadows Primary School,Madeley Heath,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Meir Heath Academy,Meir Heath,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Millfield Primary School,Fazeley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Moat Hall Primary Academy,Great Wyrley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Moor First School,Biddulph Moor,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Moorgate Primary Academy,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Moorhill Primary School,Cannock,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Mosley Academy,Anslow,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Needwood CE Primary School,Newborough,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Norton Canes Primary Academy,Norton Canes,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Oakhill Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Oakridge Primary School,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Oulton CE First School,Oulton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Our Lady and St Werburghs RC Primary School,Newcastle-under-Lyme,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Our Lady of Grace RC Academy,Biddulph,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Outwoods Primary School,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Oxhey First School,Biddulph,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Parkside Primary School,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Perton First School,Perton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Perton Primary Academy,Perton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Picknalls First School,Uttoxeter,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Pirehill First School,Walton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Poppyfield Primary Academy,Hednesford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Princefield First School,Penkridge,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Pye Green Academy,Hednesford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
